"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MD1";"Conn_TE-DDR2-SODIMM-0.6-200P-doublesided";1;"Board_RPi_CM3lite_200pConnector_multipart";;;
2;"J4";"PinHeader_2x09_P2.54mm_Vertical";1;"Conn_02x09_Odd_Even";;;
3;"R5,R12";"R_1206_3216Metric";2;"100k";;;
4;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
5;"BT1";"CR12202";1;"Battery_Cell";;;
6;"C3,C4,C5,C7,C11,C12,C13";"C_0805_2012Metric";7;"100nF";;;
7;"F1";"Fuse_1812_4532Metric";1;"2A, 6V";;;
8;"J1";"BUS_PCI_Express_Mini";1;"Bus_PCI_Express_Mini";;;
9;"J2";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
10;"J5,J6,J9";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
11;"J7";"Altech_AK300_1x02_P5.00mm_45-Degree";1;"Screw_Terminal_01x02";;;
12;"J8";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card";;;
13;"J11";"USB_A_Molex_67643_Horizontal";1;"USB_A";;;
14;"L1,L2";"SRN4018";2;"4.7u";;;
15;"Q1";"SOT-23";1;"2N7002";;;
16;"Q2";"SOT-23";1;"Q_PMOS_GSD";;;
17;"TP1,TP2,TP3";"TestPoint_Pad_D2.0mm";3;"TestPoint_Alt";;;
18;"U1";"SSOP-28_3.9x9.9mm_P0.635mm";1;"FE1.1s";;;
19;"U2";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"DS3231M";;;
20;"U3";"WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm";1;"PAM2306AYPKE";;;
21;"Y1";"Crystal_HC18-U_Vertical";1;"12MHz";;;
22;"C1,C2";"C_1206_3216Metric";2;"10uF";;;
23;"C6,C8,C9,C10";"C_1206_3216Metric";4;"10u";;;
24;"D1,D2,D3";"LED_1206_3216Metric";3;"LED";;;
25;"R1,R2,R3,R4";"R_1206_3216Metric";4;"100K";;;
26;"R6,R7";"R_1206_3216Metric";2;"470";;;
27;"R8";"R_1206_3216Metric";1;"2.7k";;;
28;"R9";"R_1206_3216Metric";1;"200";;;
29;"R10,R11";"R_1206_3216Metric";2;"10k";;;
